,M
1528,-5
1529,26
1530,-504
1531,-345
1532,-339
1533,70
1534,247
1535,-513
1536,-139
1537,173
1538,-97
1539,121
1540,-125
1541,238
1542,7
1543,-74
1544,-45
1545,-138
1546,-68
1547,57
1548,-26
1549,-370
1550,139
1551,-440
1552,-21
1553,16
1554,-347
1555,142
1556,-233
1557,458
1558,-102
1559,-248
1560,316
1561,-282
1562,287
1563,-134
1564,-68
1565,56
1566,-136
1567,-112
1568,-137
1569,204
1570,43
1571,-11
1572,-278
1573,-24
1574,-394
1575,-91
1576,119
1577,-186
1578,-86
1579,-308
1580,-211
1581,416
1582,-160
1583,100
1584,-145
1585,-30
1586,176
1587,-291
1588,75
1589,-45
1590,153
1591,69
1592,-328
1593,422
1594,-517
1595,208
1596,-327
1597,73
1598,-505
1599,-382
1600,170
1601,-7
1602,-101
1603,40
1604,-181
1605,-154
1606,52
1607,-88
1608,-87
1609,39
1610,-325
1611,55
1612,-247
1613,89
1614,-275
1615,121
1616,-171
1617,-359
1618,386
1619,-57
1620,-102
1621,149
1622,-418
1623,86
1624,-118
1625,200
1626,-22
1627,-50
1628,-290
1629,20
1630,-124
1631,-369
1632,213
1633,-61
1634,-155
1635,-159
1636,-288
1637,132
1638,-206
1639,-122
1640,21
1641,-54
1642,-201
1643,-119
1644,-250
1645,33
1646,28
1647,-30
1648,-54
1649,251
1650,-199
1651,-454
1652,313
1653,155
1654,-284
1655,261
1656,-141
1657,-53
1658,-262
1659,-274
1660,270
1661,-39
1662,-162
1663,533
1664,-595
1665,-287
1666,373
1667,-393
1668,215
1669,-144
1670,-49
1671,-283
1672,-52
1673,-282
1674,354
1675,-449
1676,113
1677,-180
1678,148
1679,-403
1680,-155
1681,-730
1682,689
1683,-447
1684,378
1685,-109
1686,42
1687,-647
1688,91
1689,-27
1690,7
1691,-94
1692,-46
1693,-848
1694,26
1695,-140
1696,528
1697,-245
1698,-98
1699,6
1700,374
1701,-223
1702,-240
1703,-333
1704,309
1705,264
1706,-360
1707,225
1708,-266
1709,-123
1710,387
1711,18
1712,-157
1713,221
1714,-265
1715,-360
1716,-503
1717,-131
1718,-103
1719,-129
1720,-672
1721,228
1722,262
1723,-416
1724,-272
1725,-436
1726,326
1727,-31
1728,-195
1729,134
1730,-87
1731,-713
1732,541
1733,-124
1734,-53
1735,99
1736,330
1737,-127
1738,274
1739,-339
1740,169
1741,-223
1742,-34
1743,183
1744,-688
1745,55
1746,-577
1747,3
1748,9
1749,-297
1750,501
1751,-340
1752,528
1753,-322
1754,152
1755,-38
1756,-647
1757,432
1758,-143
1759,436
1760,-401
1761,-149
1762,-141
1763,263
1764,-74
